,freesound_id,id,path,start_sample,end_sample,loudness,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mean_pitch
21,509524,None_509524,files/509524_11100992-hq.ogg,139776,156032,6.926406860556894e-06,-1192.5659,80.66058,40.31329,19.340576,18.985012,14.5212555,-0.01499939,-8.048973,-4.218891,-2.4893875,-9.281876,-12.937176,-5.804062,41.0
22,509524,None_509524,files/509524_11100992-hq.ogg,156032,178688,1.3836812080636536e-05,-1130.8336,128.51523,27.884518,-9.902283,-4.1627235,-0.4074173,0.21472168,-5.834221,-18.240593,-18.525131,-11.092972,-11.243935,-9.498764,41.0
23,461823,None_461823,files/461823_9677183-hq.ogg,55360,66496,0.0,-1264.9116,3.0517578e-05,-6.866455e-05,3.0517578e-05,-8.010864e-05,6.866455e-05,-3.0517578e-05,-6.866455e-05,-4.9591064e-05,-1.9073486e-05,-2.2888184e-05,-1.9073486e-05,-4.196167e-05,72.0
24,461823,None_461823,files/461823_9677183-hq.ogg,66496,124224,0.0002458540602956801,-1144.34,97.338715,-21.679604,-50.863483,-14.863255,-1.189354,-6.114586,5.8850327,13.522594,0.44888687,-0.17969513,22.60999,33.662037,72.0
25,420452,None_420452,files/420452_2402876-hq.ogg,64,12416,0.002551234602310497,-761.8647,108.61281,-49.670403,-71.29236,-29.88866,-13.595364,-4.680664,21.51478,11.476969,-4.323942,-15.0908985,-6.5060387,-3.6438847,64.0
26,462770,None_462770,files/462770_8043-hq.ogg,5568,16704,0.00023500034692643703,-924.57874,82.4077,29.38382,35.882534,-7.8420486,30.337261,-28.203213,23.401775,16.87973,13.382824,5.667099,-43.266735,25.462769,44.0
27,462770,None_462770,files/462770_8043-hq.ogg,16704,27712,0.0005560366566791091,-855.5172,118.32292,-12.699139,24.712631,12.761452,26.378124,16.310966,10.197563,8.774017,21.454905,-10.089062,-23.226604,0.29267883,49.0
28,513557,None_513557,files/513557_2898771-hq.ogg,5056,16192,0.0005149979187154222,-981.6706,199.8165,-25.70914,-9.912033,8.247341,-5.4368896,10.201401,14.814541,15.317562,13.282135,18.875046,27.578548,14.897045,55.0
29,242492,None_242492,files/242492_1648170-hq.ogg,43840,54976,0.004068224251955405,-765.36145,234.91895,-9.931511,-11.677658,-17.272205,16.86193,-4.361122,-11.892609,-46.17874,-14.170738,13.650387,-10.60511,0.51631546,62.0
30,242492,None_242492,files/242492_1648170-hq.ogg,54976,65984,0.003339329777761947,-792.18024,240.01593,-12.081928,-29.997253,-10.062637,26.148685,-9.78544,-22.39333,-35.07676,-12.938053,12.029083,-5.3851357,0.9195404,48.0
31,233146,None_233146,files/233146_4056007-hq.ogg,9536,20672,8.275842122819231e-06,-1145.7444,92.85181,-15.5396805,-23.180485,6.5881767,-7.6087265,-25.829536,-14.214531,-3.993351,-6.5834656,-4.617485,-1.6266747,-8.057701,64.0
32,58277,None_58277,files/58277_634166-hq.ogg,19264,30400,7.540993285418928e-05,-1078.4812,155.69098,34.630276,29.650757,14.573406,7.837715,28.477966,5.9445953,-27.19545,-20.932312,-3.5717697,-1.5755615,-1.6296463,53.0
33,58277,None_58277,files/58277_634166-hq.ogg,30400,51648,0.002247477690857577,-860.4361,231.09612,-46.510136,-62.16484,-28.88847,-11.019047,-3.670494,4.3324356,4.3808594,-28.069672,-43.308754,-14.368721,-5.8344193,54.0
34,57791,None_57791,files/57791_18799-hq.ogg,19776,27264,6.451244609287152e-06,-1150.6833,94.19577,40.492058,16.077587,21.56073,0.104221344,4.6953316,4.0207787,1.9000549,7.8017387,-1.8027153,2.44775,-5.78376,42.0
35,57791,None_57791,files/57791_18799-hq.ogg,27264,38400,9.632218447139208e-06,-1168.1897,90.41997,48.408733,19.623924,28.034859,10.95153,8.023994,6.48584,2.7196083,-1.1251373,-10.605854,-3.1977234,-9.390945,55.0
36,57791,None_57791,files/57791_18799-hq.ogg,38400,49408,9.026030230140963e-05,-1037.2235,170.76926,26.796673,7.373783,17.204971,-6.8253403,10.397568,5.154709,-4.676609,-15.194469,-23.26686,-9.13089,-9.72854,54.0
37,57791,None_57791,files/57791_18799-hq.ogg,49408,60416,0.003193003493686055,-902.24335,251.58559,-13.227074,-39.804535,-9.968086,-12.0233,-12.947666,-24.775158,-27.370216,-36.4237,-32.170837,-6.993847,-33.811195,55.0
38,77241,None_77241,files/77241_321967-hq.ogg,17600,28736,0.0011604104576439693,-816.32587,179.84625,-16.989143,33.966698,28.603737,22.777431,10.509884,8.495472,17.245079,-9.151226,-13.452032,-9.463623,-22.655159,47.0
39,77241,None_77241,files/77241_321967-hq.ogg,28736,39744,0.0025411735093870827,-803.8484,192.78192,-21.949314,23.109646,23.710236,22.925072,6.5727196,7.289942,14.794243,-9.965427,-16.266294,-17.16584,-28.272943,49.0
40,77241,None_77241,files/77241_321967-hq.ogg,39744,50752,0.005922688301219497,-741.5004,227.29306,-43.37764,-3.0651398,22.641384,12.137451,5.5028114,11.586643,-0.69924545,-14.827335,-28.117075,-33.264343,-21.388556,51.0
41,233143,None_233143,files/233143_4056007-hq.ogg,0,6464,5.128573497185613e-05,-916.63745,82.94535,-8.458759,10.596401,-26.112198,10.743034,-10.708294,-6.47316,-16.457401,-17.265385,-8.872019,-10.365341,-13.992495,62.0
42,233143,None_233143,files/233143_4056007-hq.ogg,6464,17600,4.514027922146622e-05,-964.9569,37.940125,-29.060127,-7.5173264,-31.090183,8.774876,-1.9257965,5.8082047,-5.40456,-4.5006027,-4.985897,-2.1881866,-13.263779,55.0
43,233143,None_233143,files/233143_4056007-hq.ogg,17600,28608,5.982440982966922e-05,-990.5061,92.267715,-28.023075,-11.810131,-20.648129,3.3448944,-0.37562943,-2.3663788,-11.131006,-11.451569,-6.445057,-4.9536057,-8.702557,56.0
