,freesound_id,path,start_sample,end_sample,mean_pitch,loudness,voiced_fraction,pitch_drift_cents,pitch_confidence,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12
20,331626,data/collections/barnyard/sounds/331626_5225777-hq.ogg,77184,92928,68.0,0.009704985374626558,1.0,34.699766001245244,0.026406733319163322,-903.0568,67.51562,-129.2361,21.26991,12.8098135,-18.708912,1.2223704,16.498749,1.6835784,-33.095486,-34.764034,-16.285587,-9.821452
21,333916,data/collections/barnyard/sounds/333916_4930786-hq.ogg,16768,37888,75.0,0.029286432403035398,1.0,11.258148961225222,0.0623459592461586,-853.16943,56.733887,-68.36851,-66.399025,-0.7292713,15.56748,-22.195286,-13.426392,1.0255107,10.1863785,27.275501,23.965403,1.4578813
22,668632,data/collections/barnyard/sounds/668632_14610501-hq.ogg,3456,18560,75.0,0.15466806037678513,1.0,45.55069300924714,0.42640718817710876,-583.1901,36.305107,-78.93047,26.072157,5.505603,16.169062,-11.43276,7.509398,-20.635012,23.02017,17.537533,14.643605,-3.3430831
23,428550,data/collections/barnyard/sounds/428550_8664320-hq.ogg,9344,24448,67.0,0.0074031093491329246,1.0,27.96125253536562,0.05131986737251282,-1119.8577,104.092026,16.921007,-22.781693,-21.463278,-15.056403,-13.772836,-2.9880307,2.5483155,-2.2040153,-4.7847915,-5.2672567,-4.7029986
24,476489,data/collections/barnyard/sounds/476489_8985221-hq.ogg,22784,42112,74.0,0.0042778474190002126,1.0,24.60888622023102,0.031570788472890854,-1087.3182,122.03048,-43.99746,-42.66212,-13.274754,-42.326252,-33.86447,10.8036995,6.436191,-5.3613505,33.14377,66.25675,37.32309
25,256452,data/collections/barnyard/sounds/256452_4754386-hq.ogg,21888,34816,74.0,0.28644249252788856,1.0,36.478331707198045,0.40406709909439087,-642.8757,88.40569,-99.19048,32.69657,-37.84818,10.516895,25.727636,-23.995123,1.3287004,-4.191011,33.569065,18.970701,15.98318
26,260179,data/collections/barnyard/sounds/260179_4400688-hq.ogg,3712,12672,91.0,0.012106493102075552,1.0,11.037132848581482,0.05491861701011658,-995.60297,-96.964035,-166.36917,105.680824,-43.345093,10.054562,-2.4801133,-2.7147288,14.261328,2.878287,37.140537,-7.3768578,-39.37795
27,530341,data/collections/barnyard/sounds/530341_10771194-hq.ogg,1280,39040,73.0,0.13221296414679626,1.0,44.02789844023355,0.3677166998386383,-765.7957,60.66524,-178.81357,10.689922,-20.872261,12.459699,-17.828638,-1.7359412,-41.525185,17.4828,-2.2729914,30.667908,30.720053
28,62217,data/collections/barnyard/sounds/62217_614053-hq.ogg,1280,14464,75.0,0.22847577068927247,1.0,40.06617722593684,0.6162052154541016,-633.37177,44.98936,-88.160095,-64.493805,6.7668095,-3.3093083,6.6552315,38.589832,-12.638608,27.180206,55.180866,29.237219,-11.788399
29,62217,data/collections/barnyard/sounds/62217_614053-hq.ogg,14720,43776,75.0,0.23812810918200966,1.0,18.43717949922765,0.6162052154541016,-683.78937,68.8701,-91.62115,-64.43891,15.174446,19.29314,-4.912104,29.868565,-4.4941745,36.621544,50.201775,24.201632,-5.291859
30,187815,data/collections/barnyard/sounds/187815_828493-hq.ogg,13568,38144,74.0,0.028587801563082587,1.0,37.33649922602549,0.15562239289283752,-830.6155,183.6126,-91.81166,2.222708,15.709747,19.09599,-11.85698,4.70115,29.281746,22.797709,37.96428,25.399096,3.755396
31,650748,data/collections/barnyard/sounds/650748_13787517-hq.ogg,31744,56576,76.0,0.03700093608150551,1.0,42.02004262777314,0.15948034822940826,-947.56085,41.23926,-161.4575,14.258374,9.398419,26.45809,12.228149,-28.48421,19.480911,83.54708,43.71107,2.3468034,-13.994126
32,650748,data/collections/barnyard/sounds/650748_13787517-hq.ogg,98816,117376,76.0,0.091209507909801,1.0,36.78254020748296,0.24820931255817413,-787.8386,-103.059296,-176.18031,-44.414062,-38.82256,-2.3047915,-26.483036,4.7913465,-5.891491,69.49852,40.836845,36.654816,-3.43611
33,650748,data/collections/barnyard/sounds/650748_13787517-hq.ogg,119552,130944,82.0,1.7869968657638385e-05,1.0,47.86203800890973,0.00020988604228477925,-1246.5714,0.6667467,-9.536624,-4.3623037,-1.3664261,3.0381792,-0.9044758,-6.5803924,-2.823157,9.073174,2.982836,-3.5544486,6.0602016
34,128038,data/collections/barnyard/sounds/128038_589889-hq.ogg,4608,17792,66.0,0.10000988045283186,1.0,38.41078525128323,0.2401517927646637,-805.2807,171.71935,25.595985,19.92979,-64.721375,-34.533222,-31.866514,-18.738274,-6.329283,-18.001972,-10.806146,6.271914,2.084239
